text,label,train_or_val
Book a reservation for 6 people for a creole tavern in Montenegro,BookRestaurant,val
I need a table in Sacaton at a gluten free restaurant,BookRestaurant,val
book sot for me and my grandfather nearby West Reading,BookRestaurant,val
"Book me and my nieces a reservation for a seafood restaurant in Cle Elum, NE on ascension day",BookRestaurant,val
book spot for two at City Tavern,BookRestaurant,val
I want to book a brasserie for 3 people in Netherlands Antilles.,BookRestaurant,val
Book me a reservation for the best bistro,BookRestaurant,val
book the best table in Tanzania for 5 people at a diner,BookRestaurant,val
I want to book a joint in a spa.,BookRestaurant,val
book a gastropub that serves turkish food for 4 people,BookRestaurant,val
book spot for 7 at an indoor restaurant in MP now,BookRestaurant,val
book a table in Fiji for zero a.m,BookRestaurant,val
I want to book a restaurant for five people in Sri Lanka.,BookRestaurant,val
I need a table for 5 at a highly rated gastropub in Concord MN,BookRestaurant,val
I want to book Oregon Electric Station in North City.,BookRestaurant,val
I need a table for 4; please confirm the reservation.,BookRestaurant,val
Book a popular restaurant for 5 people,BookRestaurant,val
I want to book a joint close by the naomi's hostel for a meal for 8 people.,BookRestaurant,val
I want to eat a delicatessen in thirteen hours that serves eastern european food,BookRestaurant,val
Book a reservation for nine people at a bakery in Nunez,BookRestaurant,val
Book a reservation at tavern for noodle,BookRestaurant,val
book spot for 4 in Somalia,BookRestaurant,val
I want to book Albany Pump Station in Buckholts Washington now for a party of 9.,BookRestaurant,val
I want to book a taverna in Archer City for this spring for nine people.,BookRestaurant,val
I want to book a top-rated brasserie for 7 people.,BookRestaurant,val
"Book a reservation for 8 people in Wardville, Kansas",BookRestaurant,val
table for Breadline Cafe in Minnesota next friday,BookRestaurant,val
I want to book a restaurant in Niger for seven people.,BookRestaurant,val
Book spot for 9,BookRestaurant,val
Book me a reservation for a pub in Cormorant for a party of nine,BookRestaurant,val
book spot for my nieces and I at a tea house,BookRestaurant,val
I want to book a jewish restaurant in Gambia.,BookRestaurant,val
"Book a reservation for The Dome, Edinburgh close to Brooklawn",BookRestaurant,val
book spot for 1 at Town of Ramsgate in Merit,BookRestaurant,val
Book a spot for me and kathrine at Smithville,BookRestaurant,val
I want to book a restaurant for my father in law and I in Buckner a year from now.,BookRestaurant,val
Book a restaurant reservation in 6 weeks,BookRestaurant,val
Book a reservation for a bar with a spa nearby ID,BookRestaurant,val
"book spot for four at Cliff House, San Francisco in Martinique",BookRestaurant,val
I need a table for 4 in Saint Helena at Settha Palace Hotel,BookRestaurant,val
I want to book a restaurant in Frenier 12 years from now for 4 people.,BookRestaurant,val
Book seven in neighboring Moorpark,BookRestaurant,val
I want to eat by five pm in NE for a six people,BookRestaurant,val
I want to book Tupelo Honey Cafe in New Jersey for five people.,BookRestaurant,val
Book a reservation for two at Mickies Dairy Bar in Weedsport,BookRestaurant,val
book a table at a Fried chicken restaurant,BookRestaurant,val
"book spot for mavis, sheila and I in Syria at elevenses",BookRestaurant,val
"Can you book me a table at Windows on the World in Cokeville , MI?",BookRestaurant,val
Book me a table for 5 this year at Cherwell Boathouse,BookRestaurant,val
book spot for six at 8 pm at a coffeehouse in NE that serves hog fry,BookRestaurant,val
I want to book a restaurant close-by in Inman for five people.,BookRestaurant,val
I need a table at Eddie's Attic in Nevada for one,BookRestaurant,val
Book a reservation for an osteria restaurant for 4 people on november 4,BookRestaurant,val
"I want to book a top-rated restaurant close by in LA for me, rebecca and loraine on 2/6/2020.",BookRestaurant,val
Book a reservation for 1 at a diner in WI,BookRestaurant,val
Book a reservation for 5 people at the top-rated brasserie restaurant,BookRestaurant,val
book a table on 1/20/2023 for 5 people in MH,BookRestaurant,val
book a table near pat's college,BookRestaurant,val
I want to book a steakhouse in Vimy Ridge.,BookRestaurant,val
I want a table at James D. Conrey House in Urbank California,BookRestaurant,val
Like to book a seat in Monaco for the Yankee Doodle Coffee Shop,BookRestaurant,val
I want to book a table in a restaurant in Bouvet Island.,BookRestaurant,val
I would like to book a restaurant for souvlaki cuisine in the state of NE,BookRestaurant,val
Book a reservation for 10 people at an oyster bar with a pool within the same area of Cowansburg for 10 Pm,BookRestaurant,val
"Book a reservation for velma, ana and rebecca for an american pizzeria at 5 Am in MA",BookRestaurant,val
Book a spot for 4 in Oklahoma at South Street Diner,BookRestaurant,val
Book a reservation for my mommy and I at a restaurant in Central African Republic,BookRestaurant,val
Book a reservation for five people for a tatar taverna in Sargents,BookRestaurant,val
phyllis ward and veronica need a table at a restaurant in 152 days,BookRestaurant,val
Book a reservation for ten at a restaurant in Ohio,BookRestaurant,val
I want to book a tea house that serves salade far from here at Midnight in Panama for two people.,BookRestaurant,val
I want to book a food truck for seven people in the Republic of the Congo.,BookRestaurant,val
I want to book a restaurant for ten people.,BookRestaurant,val
Lets eat near Oakfield 17 seconds from now at Ted Peters Famous Smoked Fish,BookRestaurant,val
"Book sot for 7 at a restaurant that serves european in Stringtown on Feb. the 28th, 2034",BookRestaurant,val
book a restaurant for six at an outdoor cafe in Åland,BookRestaurant,val
Book a table for 12 am. at our step mother's secondary residence within walking distance for one,BookRestaurant,val
Please book me a table at a pizzeria with a parking facility in Ghana.,BookRestaurant,val
book spot for four at a indoor pub within the same area of Louisiana in one minute,BookRestaurant,val
Please book me a restaurant,BookRestaurant,val
Book a reservation for me and my step brother at AMT Coffee in Lakemoor,BookRestaurant,val
I want to book a churrascaria in Romeoville at ten a.m for four people.,BookRestaurant,val
table for 5 A.m. at Baker's Keyboard Lounge,BookRestaurant,val
Please book me a table at a bistro which serves lorna doone.,BookRestaurant,val
I want to book a restaurant for six people in Wagstaff AK.,BookRestaurant,val
I would like to book a highly rated restaurant for a party of ten.,BookRestaurant,val
I want to book a sundanese gastropub nearby in Texas for 3 people on 5/20/2025.,BookRestaurant,val
book a party of five at Seagoville for 06:42,BookRestaurant,val
Book spot for 9 at Thurmont,BookRestaurant,val
I want to book a restaurant in sixteen seconds for 5 people in Gold Point Montana.,BookRestaurant,val
I want to eat in Ramona,BookRestaurant,val
book a party at their campus within the same area for churrascaria,BookRestaurant,val
Book me a reservation for a party of 3 at a pub in Northern Mariana Islands,BookRestaurant,val
I want to book a bougatsa restaurant in next year nearby Penn for three people.,BookRestaurant,val
Book a reservation for nine people at the best pub nearby Tangier in six months,BookRestaurant,val
need a table somewhere in Quarryville 14 hours from now,BookRestaurant,val
What will the weather be faraway from here?,GetWeather,val
Will there be fog in Tahquamenon Falls State Park?,GetWeather,val
Tell me the weather forecast for Gibsland,GetWeather,val
Is there a storm now in NC?,GetWeather,val
What will the weather be in Monument of Lihula on december the 5th?,GetWeather,val
Weather next year in Dominica,GetWeather,val
When will it be hot here,GetWeather,val
What will the weather be in 1 day in Kuwait?,GetWeather,val
What kind of weather will be in Ukraine one minute from now?,GetWeather,val
humidity in Olvey New Hampshire,GetWeather,val
What's the weather going to be in UT?,GetWeather,val
"humidity not far from Colorado City on November the 7th, 2024",GetWeather,val
What is the forecast for Wyoming at Stanardsville during the storm,GetWeather,val
What will the weather be in North Carolina?,GetWeather,val
what is the forecast starting 11 weeks from now nearby the state of Wisconsin,GetWeather,val
Will it be rainy at Sunrise in Ramey Saudi Arabia?,GetWeather,val
Check the forecast for Nebraska.,GetWeather,val
Will it be warmer in North Korea at nineteen o'clock,GetWeather,val
Let me know the weather forecast around ten Pm faraway from here in Park Narodowy Brimstone Hill Fortress.,GetWeather,val
Will it be stormy in the Ouachita National Forest?,GetWeather,val
"Tell me if it will be snowy 8 hours from now in Mount Airy, VI",GetWeather,val
What will the weather be nineteen hours from now neighboring Saint Kitts and Nevis?,GetWeather,val
Will there be hail on 11/12/2036 in Singapore,GetWeather,val
Will it be colder here in 48 and a half weeks,GetWeather,val
What's the weather going to be in Knobel?,GetWeather,val
"What will the weather be in Dane on sep. the fifth, 2030?",GetWeather,val
What will the weather be in Ohio?,GetWeather,val
I need to know the weather for Jan. the 3rd in Mexico when I go to Port Vue,GetWeather,val
what is the forecast for Ōtone Prefectural Natural Park in 1 hour and within the same area,GetWeather,val
What kind of weather is forecast around one pmnear Vatican?,GetWeather,val
Will it be chilly in Weldona?,GetWeather,val
Will it be colder in Virgin Islands National Park?,GetWeather,val
Will it be hot at 13:19 in De Funiak Springs Serbia and Montenegro?,GetWeather,val
What is the weather going to be like in Virginia on st. patrick's day?,GetWeather,val
Weather in Kaneville Maryland,GetWeather,val
When is sunrise for AR,GetWeather,val
"What will the weather be not far from here on October the nineteenth, 2026?",GetWeather,val
what is the forecast for Waurika in Samoa,GetWeather,val
Tell me the weather forecast here,GetWeather,val
What is the weather forecast nearby Nicodemus,GetWeather,val
What will the weather be in nov. in Brookneal?,GetWeather,val
Will it be colder four months from now in Suwanee AK,GetWeather,val
What is the weather forecast for Burundi,GetWeather,val
What's the weather in Benton City?,GetWeather,val
"What will the weather be in KY on Oct. 16, 2036?",GetWeather,val
"Will the sun be out in 1 minute in Searcy, Uganda",GetWeather,val
what is the weather here,GetWeather,val
What will the weather be one second from now in Chad?,GetWeather,val
What kind of weather is forecast in MS now?,GetWeather,val
what is the forecast for LA for freezing,GetWeather,val
how cold will it be here in 1 second,GetWeather,val
what is the forecast for hotter weather at Southford Falls State Park,GetWeather,val
"what is the overcast forecast for the current position starting on jul. 19, 2030",GetWeather,val
"what is the forecast for Morocco at Lake Ozark on December seventeenth, 2022",GetWeather,val
What will the humidity be in the current spot at 15:19:29?,GetWeather,val
what is the forecast in Nicodemus and nearby,GetWeather,val
What is the weather going to be like in Benton Colorado in 2 and a half months,GetWeather,val
What's the weather forecast for Bothe-Napa Valley State Park close by february 20?,GetWeather,val
what is the forecast for beginning on nov. 17 for Franklinville,GetWeather,val
what's the forecast for sep. 26 in Emerado Saint Pierre and Miquelon,GetWeather,val
"Will there be a blizzard next winter in Visalia, Idaho",GetWeather,val
"Will it be warmer in the District Of Columbia on may 25, 2033?",GetWeather,val
What will the weather be here on dec. 7th?,GetWeather,val
what is the forecast for colder temps beginning on Law Day here,GetWeather,val
"What's the weather like in Tyonek, New Jersey",GetWeather,val
what is the forecast for here for blizzard conditions at five pm,GetWeather,val
Will there be a storm in Gibsonia at 8 p.m?,GetWeather,val
what is the cold condition of our current position for tomorrow,GetWeather,val
What will the weather be in Hialeah Gardens on October the 24th?,GetWeather,val
Will it be freezing today in Delaware and Lehigh National Heritage Corridor?,GetWeather,val
what is the forecast in Admire in TX starting at seventeen,GetWeather,val
what is the forecast in North Carolina for Edgemoor,GetWeather,val
what is the forecast for Costa Rica,GetWeather,val
Need weather for Parc national Tolhuaca to see if it will be fog today,GetWeather,val
Weather in Walden Russia on 12/26/2018,GetWeather,val
What's the humidity here right now?,GetWeather,val
How's the weather at Petit Manan National Wildlife Refuge and nearby right now,GetWeather,val
what is the forecast for Lansford for temperate weather,GetWeather,val
overcast on State Holiday in Pawling Nature Reserve and neighboring places,GetWeather,val
I need the weather in Wakarusa,GetWeather,val
Tell me the forecast for 6 am in Tatra-Nationalpark,GetWeather,val
Tell me the weather forecast for UT on thursday,GetWeather,val
what is the forecast for Turtle Islands National Park,GetWeather,val
Will it be hotter in PR at 23 o'clock?,GetWeather,val
Weather in two hours in Uzbekistan,GetWeather,val
What is the forecast for this afternoon for blizzard conditions in Dieterich Chad,GetWeather,val
how's the weather here at two Am,GetWeather,val
will Custer National Forest be chillier at seven Pm,GetWeather,val
what is the forecast for starting at three a.m in Two Buttes for warm weather,GetWeather,val
What's the weather in Fox Chapel?,GetWeather,val
What is the rain forecast for one hour from now in South Korea,GetWeather,val
Tell me the weather forecast here,GetWeather,val
Will there be a cloud in VI in 14 minutes ?,GetWeather,val
How much colder will it be not far from Utah around 3 Am?,GetWeather,val
Will it be chilly midday in Cresbard Afghanistan?,GetWeather,val
"What will the weather be in Sarygamyş Sanctuary on august 21, 2035?",GetWeather,val
Will it be rainy in Tenino?,GetWeather,val
Will it be hot in the Netherlands on February 16th?,GetWeather,val
Where is Belgium located,GetWeather,val
What will the weather be in Milleville Beach?,GetWeather,val
can you put on Like A Hurricane by Paul Landers,PlayMusic,val
Play The Happy Blues by Ronnie Wood.,PlayMusic,val
Play the newest melody on Last Fm by Eddie Vinson.,PlayMusic,val
Use Groove Shark to play music,PlayMusic,val
Please play something good from U-roy. Any song from 1975 on Zvooq will do.,PlayMusic,val
Play a symphony from 2013.,PlayMusic,val
Let me hear the good songs from James Iha,PlayMusic,val
Play my inventive playlist,PlayMusic,val
I want to play music from iheart,PlayMusic,val
Play Subconscious Lobotomy from Jennifer Paull.,PlayMusic,val
I want to hear a seventies sound track.,PlayMusic,val
play a john maher track,PlayMusic,val
Please play something from Dihan Slabbert that's on the top fifty,PlayMusic,val
Please play something catchy on Youtube,PlayMusic,val
Play something from 2004 by Imogen Heap on spotify,PlayMusic,val
Play seventies music please.,PlayMusic,val
Play music from the artist sean yseult and sort it through top-50,PlayMusic,val
Play anything Jd Natasha did in the thirties,PlayMusic,val
Play music off Netflix.,PlayMusic,val
nineties songs on Zvooq,PlayMusic,val
Open itunes and play Ben Burnley Ready To Die,PlayMusic,val
Play an ep by Zak Starkey.,PlayMusic,val
Play an album from Nithyasree Mahadevan.,PlayMusic,val
I want to listen to something on Youtube,PlayMusic,val
Start playing something from Iheart,PlayMusic,val
Play Trance Life on Zvooq.,PlayMusic,val
Find and play a concerto on Zvooq from 1978 by Ginger Pooley,PlayMusic,val
Play All Things Must Pass.,PlayMusic,val
I want to hear music from Allen Toussaint from the fifties,PlayMusic,val
Turn on Last Fm,PlayMusic,val
Play a song by Rahsaan Patterson.,PlayMusic,val
play Femme Fatale by Bonobo,PlayMusic,val
Play some anneliese van der pol from the thirties on Groove Shark,PlayMusic,val
I want to listen to an ep from 1998.,PlayMusic,val
Play Paul Mccartney,PlayMusic,val
play Jill Sobule album,PlayMusic,val
Play chant's from 1973.,PlayMusic,val
Play something from 90s Pop Rock Essentials,PlayMusic,val
Play Have You Met Miss Jones by Nicole from Google Music.,PlayMusic,val
play chant by Nigger Kojak on Itunes,PlayMusic,val
Play some sixties songs on Google Music,PlayMusic,val
Play a fifties album from Dj Yoda on Last Fm.,PlayMusic,val
Please play my ecstatic playlist.,PlayMusic,val
Open deezer and play Curtain Call: The Hits by Junichi Okada.,PlayMusic,val
Let's play Jamie Robertson's Handover on vimeo,PlayMusic,val
play a sixties soundtrack,PlayMusic,val
Play This Is: Miles Davis on Lastfm.,PlayMusic,val
Live In L.aJoseph Meyer please,PlayMusic,val
Play the top twenty Hisham Abbas on Youtube,PlayMusic,val
play some seventies Filipp Kirkorow,PlayMusic,val
Play the most popular Puretone,PlayMusic,val
Play music from E-type.,PlayMusic,val
Can you play A.j. Pero on Groove Shark?,PlayMusic,val
Play a Bob Burns song,PlayMusic,val
"I want to hear Leroi Moore on vimeo , play the song Chance Of A Lifetime.",PlayMusic,val
Play some symphony music from David Lindley.,PlayMusic,val
Please play something on Iheart from artist Ari Gold last album,PlayMusic,val
I want to hear them from the artist Murcof,PlayMusic,val
Play sound track music from the twenties,PlayMusic,val
Play Dance With The Devil by Mr. Lordi,PlayMusic,val
Play music from 1996.,PlayMusic,val
Go to Itunes and play Dr. Lecter by David Hodges,PlayMusic,val
Play S.t.r.e.e.t. D.a.d. from Hiromitsu Agatsuma through Pandora.,PlayMusic,val
Play some movement from the fourties,PlayMusic,val
Please tune into Chieko Ochi's good music,PlayMusic,val
Play the greatest music from Bryan Maclean.,PlayMusic,val
Play something on Last Fm,PlayMusic,val
Play music by Joy Nilo.,PlayMusic,val
play some Gary Lee Conner,PlayMusic,val
Play music by Brian Chase.,PlayMusic,val
Can you play top Zvooq by Fink?,PlayMusic,val
play the top-20 Nawang Khechog soundtrack,PlayMusic,val
Let's hear stuff from Andrew Hewitt.,PlayMusic,val
Play a good ep from the eighties by Peter Murphy.,PlayMusic,val
Play Another Passenger from Louis Nelson Delisle.,PlayMusic,val
Play the top music from The Railway Children off Last Fm.,PlayMusic,val
play the best Becca,PlayMusic,val
Play something by Duke Ellington from the seventies,PlayMusic,val
Use the last fm service to play A Mis Niños de 30,PlayMusic,val
Play my Black Sabbath: The Dio Years playlist.,PlayMusic,val
Play an ep from Mike Harding.,PlayMusic,val
I want to hear anything from the Rock Symphonique genre please.,PlayMusic,val
Please play a 1997 record.,PlayMusic,val
Put What Color Is Your Sky by Alana Davis on the stereo.,PlayMusic,val
Please play a movement from george formby jr.,PlayMusic,val
play some new Les Vandyke on Slacker,PlayMusic,val
Please open Zvooq,PlayMusic,val
Play Progressive Metal.,PlayMusic,val
I want to hear soundtrack music on Youtube from Helena Iren Michaelsen,PlayMusic,val
play a song by Ramesh Narayan from 1960,PlayMusic,val
Play some blues britânico.,PlayMusic,val
Proceed with Hitomi Nabatame music from 2003.,PlayMusic,val
Play something on Zvooq,PlayMusic,val
Play music from Lynn & Wade Llp.,PlayMusic,val
Let me hear Chris Knight music,PlayMusic,val
Let's hear good Mohammad Mamle on Vimeo.,PlayMusic,val
Please play a sound track from the fifties that's on Iheart,PlayMusic,val
Play Music From Van-pires by Dmitry Malikov.,PlayMusic,val
Play rich sex on Iheart,PlayMusic,val
Play Modern Psychedelia.,PlayMusic,val
rate this album four out of 6 stars,RateBook,val
Give this textbook four stars.,RateBook,val
rate A Twist in the Tale zero out of 6 points,RateBook,val
Rate The children of Niobe 1 out of 6 points.,RateBook,val
Give zero stars to Halo: Ghosts of Onyx,RateBook,val
give this novel a score of 5,RateBook,val
Give the current series four of 6 points.,RateBook,val
Give 4 out of 6 points to The Spirit Ring chronicle,RateBook,val
Give two stars out of 6 to 36 Children,RateBook,val
Rate The Sneetches and Other Stories a three,RateBook,val
Rate the current series four stars.,RateBook,val
rate this book a 4 out of 6,RateBook,val
rate the current novel 5 of 6 stars,RateBook,val
Rate this book a 1,RateBook,val
Give zero out of 6 to the current album,RateBook,val
Give this album 5 points.,RateBook,val
Rate The Mystery of the Tolling Bell series 4 stars.,RateBook,val
Give the current novel two stars.,RateBook,val
Give the current book 4 stars,RateBook,val
Give Joe Magarac and His USA Citizen Papers 5 points,RateBook,val
Rate The Guilty 0 of 6 points,RateBook,val
rate this textbook four out of 6,RateBook,val
Give the Catedral series four stars.,RateBook,val
Reminiscences of the Anti-Japanese Guerillas chronicle deserves zero points out of 6 for a rating.,RateBook,val
"Give Small Screen, Big Picture a 0 out of 6 rating.",RateBook,val
Gods and Pawns should get a three,RateBook,val
Give zero stars to this textbook,RateBook,val
Rate the current novel a 4 out of 6 stars.,RateBook,val
Rate the book The Atmospheric Railway 5 out of 6,RateBook,val
rate Black Boy 4 out of 6,RateBook,val
Rate the chronicle current 1 star,RateBook,val
mark this album a score of 5,RateBook,val
rate the current novel zero out of 6,RateBook,val
rate the current novel a 2,RateBook,val
Give The Giant Devil Dingo 4 points.,RateBook,val
Rate this current novel two out of 6.,RateBook,val
Give Monthly Index of Medical Specialities a two out of 6 rating.,RateBook,val
rate this novel 2 out of 6 points,RateBook,val
Rate the current novel 3 stars,RateBook,val
rate the current essay zero out of 6 stars,RateBook,val
rate this current album 0 stars,RateBook,val
Give A Brief Stop on the Road from Auschwitz 1 out of 6 stars,RateBook,val
Rate this album 4 out of 6 stars,RateBook,val
Rate Hate That Cat 1 out of 6 stars.,RateBook,val
give my current book one of 6 stars,RateBook,val
Rate current novel one stars.,RateBook,val
Give five out of 6 points to this album,RateBook,val
Give a rating of 2 to Juneteenth.,RateBook,val
Rate Ruth five out of 6 points.,RateBook,val
rate The Sea of Trolls 1 stars out of 6,RateBook,val
give The Zenith Angle one out of 6 points,RateBook,val
Give zero stars to Rhialto the Marvellous,RateBook,val
give the current book a zero of 6,RateBook,val
rate Personal Demons 0 out of 6 points,RateBook,val
Rate the current series a 4,RateBook,val
Give one of 6 points to Who Will Cry When You Die,RateBook,val
Give zero out of 6 stars to this album,RateBook,val
Give this novel 2 stars,RateBook,val
Rate The 8-Week Cholesterol Cure three out of 6.,RateBook,val
rate this novel 3 out of 6 points,RateBook,val
rate The Lives of John Lennon five points,RateBook,val
Give The American Scene 2 of 6 stars,RateBook,val
Rate this textbook a one.,RateBook,val
Give Summer of the Swans 1 points.,RateBook,val
Give the current textbook a rating of five.,RateBook,val
Give 4 points to The Person and the Common Good,RateBook,val
Give a four rating to A World Apart.,RateBook,val
rate this chronicle 0 points,RateBook,val
Give Wilco: Learning How to Die a rating of four points.,RateBook,val
Rate this saga two out of 6.,RateBook,val
rate The Gift: Imagination and the Erotic Life of Property five stars,RateBook,val
rate Neverwhere four out of 6,RateBook,val
Rate In the Company of Cheerful Ladies a zero out of 6,RateBook,val
Give one start to the current book,RateBook,val
Give this chronicle a 2 rating.,RateBook,val
rate this essay a 1,RateBook,val
"Out of 6, give Rivers of Babylon a 1",RateBook,val
Give 5 of 6 stars to Expressive Processing,RateBook,val
rate The Ghost House series a one,RateBook,val
rate Know Ye Not Agincourt? 2 out of 6 stars,RateBook,val
I would rate Theft: A Love Story four out of 6 stars.,RateBook,val
Rate The Further Adventures of The Joker four stars,RateBook,val
Give 0 rating to In the Heart of the Country,RateBook,val
Give 1 out of 6 rating to the current textbook,RateBook,val
